distance,delta
0.089006,0.00474399
0.3427,0.00105026
0.305368,-0.000680242
0.686508,0.00099219
0.572721,-0.0102211
0.298443,-0.00938092
0.0889804,-0.0030429
0.0986162,0.00294625
0.671555,0.000320248
0.317138,0.0109873
0.0969733,-0.0110358
0.29953,-0.0104671
0.653064,-0.00462689
0.137888,0.0027367
0.122453,0.00254701
0.147636,0.000801983
0.284019,-0.00276903
0.177017,-0.0129548
0.140945,0.0153055
0.225934,0.000628571
0.214964,-0.00402659
0.333621,-0.00549614
0.330846,-0.0183461
0.260849,-0.0108493
0.0813859,-0.0110734
0.108733,0.00845486
0.336278,0.00747214
0.182226,0.00136776
0.0898613,-0.00392383
0.30318,0.00150767
0.389967,-0.00324796
0.656431,-0.00408737
0.0726153,-0.00230276
0.333465,-0.00533975
0.279991,0.00125913
0.255354,-0.00144785
0.0823093,0.0114407
0.45643,-0.00330537
0.090773,-0.012648
0.124619,0.000380671
0.822695,-0.00238267
0.343743,0.00781951
0.489794,0.00239345
0.176682,0.00300544
0.0575812,0.00491879
0.142166,0.00627196
0.168397,-0.0121472
0.328433,-0.0159333
0.58753,-0.00940542
0.129908,0.0107168
0.290974,0.0137133
0.527374,-0.00393656
0.440244,-0.0105569
0.42611,-0.0354853
0.163151,0.000911213
0.0754033,-0.00509079
0.107086,0.010101
0.21706,0.0134091
0.360074,-0.00851167
0.0638451,-0.00915762
0.45579,-0.0182903
0.759436,0.00618874
0.2586,-0.000787232
0.583157,-0.0128446
0.649277,-0.00865158
0.146174,0.0100761
0.142033,-0.00140772
0.254951,0.00286146
0.0829807,0.0185818
0.202669,0.0160807
0.494833,-0.00264556
0.386468,-0.003656
0.367799,-0.000611353
0.119092,-0.00190429
0.125208,-0.00802027
0.199744,0.00338138
0.231065,-0.012315
0.22265,-0.00390031
0.0940393,-0.00028925
0.15769,-0.00144018
0.245095,-0.00290759
0.292782,-0.0193441
0.44979,0.00333494
0.25484,0.0107853
0.164465,0.00741031
0.4591,0.00183746
0.463876,-0.00293803
0.613612,-0.0120492
0.243543,-0.00135505
0.352364,0.0148235
0.331417,-0.0189174
0.196118,-0.000805865
0.258047,-0.00804685
0.0962573,0.00530516
0.0455903,0.0169097
0.264331,-0.00651884
0.123049,-0.0214868
0.359281,-0.00771819
0.0960591,-0.0101216
0.84704,-0.0189146
0.417166,0.00470883
0.194534,0.000778477
0.121964,-0.00477634
0.395911,0.0103388
0.0493038,-0.0102413
0.194222,0.00109088
0.698856,0.00426913
0.314244,-0.0173685
0.542179,-0.0187413
0.299706,-0.0106438
0.392481,-0.00185634
0.385084,-0.00227104
0.214295,0.00445531
0.519179,0.0042589
0.274446,-0.0166337
0.116872,-0.00749737
0.216159,0.00259113
0.250023,-0.00783554
0.154809,-0.0141844
0.842449,-0.0143245
0.203838,-0.000713165
0.35706,-0.0133095
0.139631,-0.00681866
0.402891,-0.0122663
0.267067,-0.00925447
0.145546,0.00289128
0.667519,-0.00345669
0.712079,-0.00114163
0.194122,0.00900295
0.581837,-0.0037118
0.378043,0.00476962
0.716321,-0.0131958
0.167389,0.000580235
0.166388,0.0054867
0.375115,-0.00792798
0.517479,-0.00966651
0.18801,-0.0161354
0.178325,0.00917472
0.326362,0.00176259
0.110882,0.0141175
0.313528,0.0145968
0.170305,-0.00624236
0.199311,-0.0118108
0.714927,-0.027427
0.0780676,0.00786985
0.0633039,0.0148211
0.113469,0.00371823
0.440899,-0.00339919
0.305535,-0.0164727
0.118358,-0.0011706
0.0733664,-0.00305393
0.232607,0.00958033
0.314052,0.00626095
0.0915484,0.00220164
0.25282,-0.0184446
0.313545,0.0067674
0.510788,-0.0186004
0.0941211,0.0074414
0.201626,-0.00631325
0.209501,0.00143686
0.450201,-0.00488807
0.142873,0.0055644
0.336383,0.00736747
0.170526,0.0013489
0.332501,-0.012188
0.334014,-0.0137011
0.204697,-0.0250098
0.433662,-0.00397431
0.0739262,0.00419875
0.495948,0.00405181
0.261344,0.000374569
0.261488,-0.00367544
0.902654,0.00359606
0.406193,-0.0116617
0.11141,0.0135896
0.665413,-0.0091629
0.386922,-0.00410981
0.404411,-0.0137859
0.339615,-0.00367725
0.141313,-0.0163133
0.210424,-0.00729913
0.131149,0.00947637
0.17879,0.0087098
0.192737,-0.0130499
0.172546,-0.000671444
0.118564,-0.0170013
0.294824,-0.00576141
0.542986,-0.0273614
0.466558,0.00609802
0.237396,-0.00302061
0.114688,0.00249978
0.202149,0.00878812
0.260097,-0.00228434
0.280262,-0.0068243
0.0796706,0.00626691
0.808108,-0.00342075
0.127067,-0.0176916
0.340694,-0.00475655
0.320702,-0.00820158
0.163472,-0.00722155
0.423,-0.00112532
0.60895,-0.0073873
0.371666,-0.012291
0.12143,0.00357005
0.147792,0.000645282
0.34905,-0.00530034
0.192216,0.0109094
0.171521,0.000354419
0.0790245,-0.000899493
0.598781,0.0105938
0.265658,0.00777979
0.406196,-0.00775829
0.371842,-0.00465492
0.141192,-0.0161917
0.295744,0.00113144
0.299016,-0.0177658
