distance,delta
2.02813,0.00311886
2.68466,-0.0362275
3.22382,-0.0206911
1.58002,0.0137255
2.84734,0.0589119
2.89305,0.0210172
2.48227,-0.00570412
1.80999,-0.0443625
2.55652,0.0528541
2.41148,-0.0677316
1.45144,-0.0295608
3.22735,0.0382767
2.22307,0.00348854
2.55759,0.0283494
2.57166,-0.0325955
1.80592,-0.00904335
2.7397,0.0259264
2.73038,-0.0116317
2.85455,-0.0342371
1.83775,-0.00962863
3.34902,0.0494147
3.5771,-0.00678431
1.64591,0.0337815
2.64927,0.00697712
2.27039,-0.0281979
2.21586,-0.00492453
1.96737,0.0326349
2.43137,-0.00949246
2.43232,0.0364321
1.7696,0.0194663
2.6598,0.00426454
2.80924,0.00325572
2.4645,0.00424743
3.52101,0.0258688
2.53217,0.0147043
1.91854,0.00333183
1.88246,0.00035312
1.65751,0.00655447
2.28122,0.00783929
2.02992,0.00913762
2.22138,-0.00262629
3.52492,-0.00929482
2.22377,-0.0128316
2.34024,0.0191386
1.97434,0.00221934
3.58006,0.0293195
2.54406,0.0106236
2.9502,-0.0127027
2.83705,-0.00892028
2.32186,-0.0406093
1.81786,0.0493283
2.47966,0.0125288
3.80493,0.0153802
3.16556,0.0141274
1.86694,-0.0075691
3.24747,0.0103433
2.69767,-0.0101745
2.44606,-0.0163728
2.52119,-0.00556794
3.17027,-0.0296478
2.69159,-0.0353403
2.4563,-0.0188045
1.99463,-0.0102597
2.96666,0.0489691
2.65245,0.0350543
2.87527,0.038797
2.75933,0.0141077
2.35873,0.0084603
3.34586,-0.0489862
3.93322,0.0120912
3.18982,0.0367381
2.54883,0.0371039
2.52289,-0.00726807
2.61918,0.0214467
2.15953,-0.0110911
3.99279,0.030648
2.26447,0.0245883
2.60262,0.0301946
2.11369,-0.0199422
2.66335,0.01634
2.77887,-0.0132435
3.1064,0.0186039
2.49065,0.00153634
2.78008,-0.0144555
3.66944,-0.0288136
3.02877,0.00248324
1.89549,-0.0126807
3.0728,0.0521986
3.23179,-0.0208554
2.99968,-0.0309315
2.95143,0.0173226
2.50667,0.0167679
1.96111,-0.0314189
2.2925,-0.0268725
4.57022,0.00790988
3.54925,0.0679362
2.39608,0.0257913
3.4301,-0.00822223
2.60565,0.0271622
1.66346,0.0240392
2.75418,-0.0198085
2.50521,-0.00520843
3.05061,-0.0115477
3.01907,0.0121779
2.34156,-0.0446836
2.07361,-0.018927
2.9561,0.0282777
2.495,-0.0184392
2.25858,0.014856
2.31569,-0.0344394
2.08057,-0.0258856
2.04657,-0.0153173
2.3713,0.0115094
2.15205,-0.0192345
1.49847,0.0171556
2.21645,0.0413657
2.30988,0.041679
2.69362,-0.0451849
2.28542,-0.0197934
2.44607,0.0304923
2.68015,-0.023904
2.091,0.0183751
1.62965,-0.0358995
3.62748,0.0131485
3.03439,0.0359208
2.19349,0.00182307
2.8545,-0.00293539
2.47945,-0.00288458
2.33741,0.0219697
2.58811,-0.00998908
3.57517,0.00295869
1.7867,-0.0367023
2.52302,0.016047
3.04627,0.00842064
4.41199,-0.0135514
3.19109,0.0354755
2.01949,0.0273824
1.81624,0.00406791
1.83406,-0.0215562
2.34661,-0.0184859
2.54974,-0.0028674
2.57386,0.0120789
2.476,0.00837629
3.5673,0.0186348
3.28216,-0.0556022
3.01019,-0.0258126
2.46706,0.0251255
1.69277,0.0103597
2.38441,0.0452793
2.07453,0.00359945
2.64821,-0.0388354
3.16918,0.018317
2.94396,-0.00646018
3.23757,-0.0500711
3.1647,0.00717391
2.49807,0.0331755
3.2661,-0.0395384
3.62902,-0.0118339
2.26699,-0.0248048
2.88525,0.0131869
2.86394,-0.0514432
1.66363,0.016061
1.90011,0.0295789
3.35437,0.0206337
1.71118,-0.000238126
2.2792,0.0176756
2.18482,-0.00513538
3.48962,-0.00524715
2.41132,-0.0441319
4.06578,0.0357794
1.7052,0.00573589
2.63672,-0.0117205
2.6535,0.0261864
2.48386,0.0161385
1.99695,0.0108639
2.63442,-0.00160701
2.63617,-0.0267925
2.88309,0.00753089
2.45555,0.0366354
2.10389,-0.00232324
2.44187,0.0112586
2.67964,-0.023392
2.43331,-0.0426819
3.5528,-0.021554
2.66291,0.00896954
2.87495,0.00786331
2.14546,0.0264173
3.03318,-0.0566132
2.39206,-0.0483129
2.43202,-0.0257726
2.91715,-0.00309162
2.64087,-0.0471183
2.2756,-0.0334151
2.33808,0.00566785
3.3272,0.0087394
2.85774,0.0250683
1.96361,0.00513779
3.31155,-0.00686069
2.09786,0.0349558
2.23761,-0.0110491
2.59098,-0.0206664
3.33094,-0.0262499
2.28036,0.0399509
2.97268,0.0195036
3.46359,0.0364124
2.44942,0.0271416
3.16883,0.0264839
2.98167,0.0417708
2.91139,-0.0285805
3.37839,0.0434886
2.27842,0.00282844
2.66194,0.0255569
2.96994,-0.0402528
2.79815,-0.0090829
3.0552,-0.0317673
2.57346,-0.0031441
2.82504,0.0109023
3.12556,-0.000557755
1.90407,0.00999511
2.85138,0.000178293
3.00228,-0.0647752
2.26985,0.0192156
4.28753,-0.00628205
1.88885,0.00177501
3.1335,0.046192
2.8855,-0.0104969
2.76666,0.0458424
3.54047,0.0298406
3.26543,-0.00761794
2.98568,-0.0169338
2.78395,-0.0105159
2.59762,0.0039474
3.92455,0.0285707
2.27738,-0.00393898
2.12029,0.0359649
2.17557,-0.00369335
2.40237,0.0195041
3.46824,-0.046361
2.68805,0.05414
2.84509,-0.00915431
2.04635,-0.0307223
2.81812,-0.00561597
2.83475,0.00899934
2.06353,-0.00884112
2.93893,-0.00143214
2.69133,-0.0194532
1.85306,0.00631919
2.27012,0.011133
2.70214,-0.00683239
3.36598,0.00902075
3.34062,0.0187587
2.59703,0.0279724
1.50937,-0.0328064
2.80525,-0.0318146
3.15847,0.00559027
2.98577,-0.017016
3.30682,0.036926
2.79137,-0.00230423
2.80978,0.00272404
2.01444,0.00899903
3.39389,-0.0032602
3.09686,0.00470353
2.44431,0.0244402
2.85978,0.0464691
4.31999,0.000325932
2.62977,0.0108501
2.05023,0.00445838
2.01041,-0.0025959
3.79961,0.0285127
2.21681,-0.00587457
2.54737,0.0151287
3.66153,0.0415951
3.42256,-0.0085016
2.3391,0.012464
3.48945,0.0496164
3.70339,-0.0549535
2.32617,-0.0136727
2.54718,-0.0237433
2.33691,-0.008788
2.64069,0.0155621
2.5294,0.0331028
2.8943,0.0275739
2.40883,0.0208555
2.42465,-0.0262078
2.97903,-0.0180889
3.89691,0.00934212
2.64722,0.055904
2.08275,0.0266288
1.99917,0.0320837
2.53047,0.0164049
3.09787,0.0115024
2.38599,0.012446
3.20027,-0.0127656
3.24813,0.0174973
2.80017,-0.0111046
2.25335,0.0122762
2.27601,-0.00256951
2.52295,0.0629898
3.26024,0.0444524
1.93459,0.00290631
3.5058,-0.00580443
2.6204,0.00459619
2.02887,-0.00543694
2.84297,-0.0304695
2.93633,-0.0144559
2.75492,-0.0127312
2.34531,0.0218784
3.38562,0.00500442
2.32449,0.0114468
2.41724,-0.0422416
2.29554,0.0169628
3.16362,-0.0308124
3.05255,0.00213482
2.6392,0.0482982
3.18337,-0.00368631
2.83499,0.0165708
1.61857,-0.0248152
2.7944,-0.0131538
3.03975,0.0305626
2.92955,-0.00767063
3.19296,0.0179817
2.90786,0.00620222
2.54599,0.0477582
3.23539,-0.0166394
2.61273,0.00446159
3.61649,-0.0383691
3.58013,0.0136233
3.85983,-0.0551383
3.46581,-0.0126857
2.24367,0.0297692
1.923,0.0301263
2.94091,0.00440623
2.63595,-0.0109505
3.22718,0.0306362
2.65242,-0.00398179
2.45312,6.47247e-06
2.67337,0.0219414
1.90951,-0.0110717
2.46839,0.0472351
1.75696,-0.0460231
2.12834,0.01228
1.9942,0.037046
2.55193,0.0183779
2.85867,0.000709619
2.95578,-0.0729633
2.49587,0.0197579
2.37549,-0.0551818
2.90341,-0.0127842
3.06955,-0.0148607
2.04267,-0.019228
2.54005,0.022452
1.9438,0.0249482
2.90146,0.0126061
2.28394,-0.0261289
2.15652,-0.00808005
2.79504,0.00965201
3.76504,0.000584195
2.46804,-0.0461641
2.94285,0.0415289
3.50174,-0.0173614
1.45509,-0.0332175
1.68915,-0.032903
2.9152,-0.00113988
2.62781,-0.0262515
3.12174,0.0188861
3.24358,0.022045
2.75379,0.0196466
2.19597,-0.0162872
3.49138,-0.0460633
3.09985,0.00171154
2.50882,0.0693038
2.07006,-0.0388087
2.20953,-0.0142161
2.28856,0.000504863
2.19276,0.0338003
1.97218,0.0121903
2.57565,0.0024749
3.07417,-0.00385505
2.88159,-0.0456515
3.26508,0.0708591
2.23435,2.51616e-05
2.25643,-0.0220513
3.03204,-0.0242253
2.93426,0.0188697
2.1076,0.00958352
2.86264,-0.0110771
1.92784,0.0252843
3.34878,0.00278247
4.1665,-0.0336846
2.39159,0.00684999
1.92161,0.00807845
2.36497,0.0412768
2.02418,0.00707254
3.43954,-0.0176678
2.7679,-0.0335221
2.54275,0.00412876
2.5456,0.0247157
2.94275,0.0338165
2.18337,0.0353847
3.53923,0.0388976
2.23513,0.0148672
2.79699,-0.000113711
3.27681,-0.0346209
3.27214,0.0247346
2.37045,0.0279826
1.93642,0.0167061
3.28341,-0.017787
3.24342,0.0143949
3.12271,-0.00551927
2.8528,-0.0246783
2.62087,0.00413464
2.99491,0.0129058
2.2464,0.0114153
2.0479,0.00678701
1.99813,-0.00594246
2.29053,0.0219688
2.75863,-0.0633223
3.03807,-0.038065
2.7386,0.0348391
2.92324,-0.0169877
2.65776,-0.0171366
3.11656,0.000624184
2.53314,-0.00188675
2.32639,-0.0217071
3.03345,-0.0021967
2.29467,0.0568903
2.33496,0.016606
2.38425,0.0298076
2.93652,-0.00683211
2.63251,-0.0231384
2.72912,-0.0650596
2.41544,0.0142443
2.48705,0.067641
2.62807,0.0203712
2.28923,0.0154543
2.84143,0.0257605
2.69823,0.0283307
2.10872,-0.0305968
2.58715,-0.00902362
2.8754,0.0152231
3.00751,0.00811599
2.47536,0.00901246
2.93901,-0.00151293
3.42081,-0.0223692
2.39392,0.0279523
3.05604,-0.00916213
3.47955,0.0438856
2.30083,-0.0273967
2.95572,-0.0650946
2.54848,-0.00160022
2.28685,0.00221525
2.73361,0.0163948
3.87377,0.00904084
2.14838,0.0156857
1.72414,-0.00539307
2.31269,-0.00800484
3.42778,0.0800354
1.79284,-0.00377708
3.15242,-0.0117932
3.11378,-0.0434709
1.7185,-0.0388163
3.74551,-0.0345703
2.62702,-0.00202459
3.21185,0.0303418
3.12583,0.0226109
2.72419,-0.0210642
2.57881,0.00712365
2.75656,-0.0143746
3.92624,-0.00436215
2.38399,-0.0324294
2.93949,-0.0488613
3.4022,0.0509271
2.60187,0.046569
2.21868,0.0156944
2.69216,0.0265938
2.64763,-0.0616941
2.38782,-0.0128234
2.38049,-0.0289297
2.59282,-0.038131
2.1759,-0.00402346
3.79825,-0.0170005
2.45432,-0.0715091
2.93504,0.0649574
2.45728,0.0270937
2.60408,0.00529689
2.52061,0.0184566
2.18311,-0.0268589
3.06338,-0.0321307
2.1631,-0.0459119
2.64177,-0.03239
2.95247,0.0162771
1.90406,0.033444
2.95437,-0.00905741
2.75845,0.00717163
2.80597,-0.00909413
2.9447,-0.0150122
2.40917,-0.00291649
2.71836,0.0238308
2.43527,-0.0133925
3.03294,-0.00168756
2.03774,-0.0533604
2.91944,0.0102465
3.82706,0.0323141
1.83736,-0.00923645
3.11928,0.0213438
2.92376,-0.0175058
3.40604,-0.00760532
2.87242,-0.0364844
2.33292,0.0342672
2.48768,0.0826326
2.50715,-0.00715433
2.84098,-0.00503868
2.24941,0.031843
2.37794,-0.0498162
2.89307,-0.0336925
3.26975,-0.0119364
2.2181,-0.0306014
2.02902,-0.00558748
2.99372,-0.0405947
2.80609,-0.0170241
3.32205,0.00607995
1.91619,-0.00213197
2.21911,-0.0159872
3.25224,-0.0334924
2.89701,0.00142765
2.01835,0.0050906
1.78761,0.00145184
3.24728,-0.0207155
2.94258,0.033983
2.73196,-0.00540211
3.62668,0.013942
2.11513,0.0176835
2.73047,0.0507833
3.61489,-0.0289475
2.94551,0.00761562
2.0093,-0.00149182
2.48107,-0.0357537
2.80384,0.000844704
2.17723,-0.0131682
2.93586,0.00163863
3.58375,0.0178143
3.12201,-0.0673252
1.89145,0.00698942
2.86386,0.00332287
