features,mean,sigma
2,-1.99353e-05,0.000518516
3,2.09915e-05,0.000570401
4,2.77513e-05,0.000841162
5,3.44371e-05,0.00113193
6,0.000198499,0.00139353
7,0.000299008,0.00181156
8,8.8514e-05,0.00194672
9,2.23526e-05,0.00269347
10,8.35589e-05,0.00261295
11,0.000251382,0.00312658
12,0.000284482,0.00358178
13,0.000271643,0.00367268
14,0.000314429,0.00454634
15,0.00032684,0.00406753
16,9.43427e-05,0.00583206
17,0.000526607,0.00669236
18,0.000405847,0.0079643
19,8.22313e-05,0.00639165
20,0.00045912,0.0074132
21,0.000530629,0.00795812
22,0.000486262,0.00873473
23,0.000946876,0.0094904
24,0.000680381,0.00839946
25,0.000972046,0.010135
26,0.00089898,0.00998731
27,0.000744903,0.0107307
28,0.000505469,0.0108162
29,0.00100399,0.0123635
30,0.000963746,0.0122625
31,0.000825872,0.0130455
32,3.74499e-05,0.0124003
33,0.000329348,0.0171481
34,-0.000465219,0.0156388
35,0.000725635,0.0163131
36,-0.000267559,0.0185183
37,0.000133102,0.0195111
38,0.000418783,0.0185997
39,0.00276294,0.0209126
40,0.00108168,0.0208475
41,0.00127802,0.0210047
42,0.000402689,0.021681
43,0.00162305,0.0228403
44,-0.00160448,0.0246426
45,0.00167503,0.0250038
46,0.00193895,0.0244212
47,0.00148277,0.0265502
48,7.64278e-05,0.0264742
49,0.00101478,0.0271619
50,0.000563525,0.0267633
51,6.86016e-05,0.028539
52,0.00169029,0.0283799
53,0.00244658,0.0291287
54,0.000961926,0.0285355
55,-0.000732465,0.0314707
56,0.00220181,0.0327959
57,-0.000890821,0.03108
58,0.00123923,0.0343415
59,-0.00158911,0.0337425
60,-0.00111041,0.033065
61,0.00168985,0.0416293
62,0.000318072,0.0352877
63,-0.00104709,0.0424302
64,0.000151304,0.0365793
65,0.000193285,0.0440356
66,0.000331976,0.0419829
67,0.00111894,0.0430575
68,0.00258881,0.0478346
69,-0.00517722,0.0454564
70,-0.000419774,0.0457076
71,-0.00077158,0.0465098
72,0.00217757,0.0474068
73,-0.00549575,0.0516982
74,0.000834299,0.0492863
75,0.000765186,0.0518125
76,-0.00261956,0.0544496
77,-0.000333479,0.0529485
78,-3.16874e-05,0.0551568
79,0.000601192,0.057608
80,0.00219698,0.0662631
81,-0.0017844,0.0609165
82,-0.00194682,0.0621521
83,-0.00115916,0.0609995
84,0.000623861,0.0611158
85,0.00328749,0.0654007
86,-0.00463019,0.067113
87,0.0028259,0.0635146
88,-0.00235293,0.064914
89,-0.00363014,0.0678404
90,-0.00187875,0.0644347
91,-0.00267699,0.0663667
92,1.44484e-05,0.0690289
93,-0.0037363,0.0700133
94,-0.00420273,0.0712906
95,-0.00110699,0.0736175
96,0.000918653,0.0738027
97,-0.00222653,0.0787245
98,-0.00394229,0.0781526
99,-0.00358227,0.073592
100,-0.00570002,0.0787664
101,-0.000400186,0.0772392
102,0.00192153,0.0780045
103,0.0010687,0.0802802
104,-0.00221273,0.0793723
105,-0.00317906,0.0751358
106,-0.00275669,0.0808294
107,0.00147456,0.0779362
108,0.000260074,0.0839626
109,0.00726786,0.0836806
110,0.000294174,0.0868571
111,0.00265451,0.086399
112,-0.00460448,0.0818003
113,-0.00129102,0.0918529
114,-0.00464887,0.0893183
115,-0.00046974,0.084806
116,-0.00655062,0.0931353
117,-0.0012779,0.0946322
118,-0.00127715,0.0932515
119,-0.00227512,0.104337
120,-0.00171259,0.0952271
121,-0.00297965,0.101573
122,-0.00999179,0.0914802
123,-0.00200846,0.0973386
124,-0.000681936,0.101249
125,-0.00770535,0.0970072
126,-0.00520595,0.106088
127,-0.00443929,0.103894
128,-0.00130785,0.104838
129,0.00286685,0.123963
130,-0.0111309,0.107624
131,-0.00494895,0.116429
132,-0.000954009,0.116873
133,0.00406001,0.12281
134,-0.00278008,0.11934
135,0.00075412,0.119656
136,0.00200332,0.124127
137,-0.00810104,0.133295
138,-0.00240636,0.130931
139,0.00183146,0.131026
140,0.00537708,0.128843
141,-0.00347196,0.130421
142,0.000281151,0.137425
143,-0.000345056,0.143321
144,0.00243629,0.140038
145,0.00481657,0.143603
146,-0.00969474,0.143057
147,-0.00525579,0.143555
148,0.00252473,0.147211
149,-0.000460887,0.143821
150,-0.00081888,0.150786
151,0.00320698,0.148155
152,0.00696979,0.155978
153,-0.00321332,0.140899
154,-0.0181396,0.15626
155,-0.00280822,0.157152
156,0.00709117,0.152443
157,0.00932914,0.163354
158,-0.00326363,0.167956
159,-0.00455815,0.168869
160,-0.00190182,0.168039
161,-0.00546185,0.166157
162,-0.00572888,0.176191
163,-0.00689783,0.173119
164,-0.0071319,0.173241
165,-0.00169153,0.165713
166,0.00253387,0.178123
167,-0.00074114,0.178328
168,-0.00446861,0.173825
169,-0.0175599,0.175808
170,-0.0053173,0.177074
171,-0.0029702,0.178718
172,0.0157381,0.173626
173,-0.00841759,0.177925
174,-0.0030456,0.181066
175,-0.00273618,0.183738
176,-0.00250203,0.178944
177,0.000886917,0.193677
178,-0.000509392,0.181585
179,0.00168216,0.18688
180,-0.0134141,0.191692
